file_id,cluster_id_x,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert,cluster_id_y,ivd_t5,pairs_t5,sentences_t5,ivd_centroid,pairs_centroid,sentences_centroid,ivd_keybert,pairs_keybert,sentences_keybert,cluster_id,tfidf_sim_t5,js_div_t5,tfidf_sim_centroid,js_div_centroid,tfidf_sim_keybert,js_div_keybert
cluster_mpnet_hdbscan_55,2.0,0.39729989,0.325716025,0.0142857143,0.2,0.510309649,0.281560523,0.1,0.583333333,0.366363327,0,0.0333333333,,2.0,1.666666667,4.714285714,3.0,1.492488662,13.14285714,9.142857143,1.0,1.0,1,2.0,0.0548990403,0.731683819,0.12327091,0.694212639,0.104148868,0.818000336
cluster_mpnet_hdbscan_60,2.0,0.457153929,0.410107432,0.0428571429,0.416666667,0.511818303,0.281020641,0.1,0.55,0.376862248,0,0.0166666667,,2.0,3.142857143,6.0,2.285714286,1.536139456,13.28571429,9.0,1.0,1.0,1,2.0,0.0805028515,0.7339049,0.12766397,0.690738395,0.0941407419,0.821886166
cluster_mpnet_kmeans_10,4.5,0.473070291,0.292209038,0.08,0.39,0.52966347,0.274932538,0.12,0.53,0.374891768,0,0.04,,4.5,2.383333333,5.9,2.7,1.230091575,9.4,8.1,0.1,0.1,1,4.5,0.0965571787,0.732783424,0.114314353,0.690628383,0.0987172855,0.811739922
cluster_mpnet_kmeans_15,7.0,0.48173572,0.326607214,0.04,0.446666667,0.534053073,0.260309894,0.126666667,0.486666667,0.394252979,0,0.0333333333,,7.0,1.212222222,3.733333333,3.0,1.383417138,11.8,8.866666667,0.866666667,0.866666667,1,7.0,0.0892875366,0.735190689,0.117475654,0.695400292,0.126043432,0.810047213
cluster_mpnet_kmeans_20,9.5,0.471687177,0.293129692,0.07,0.392222222,0.535569745,0.269202565,0.115,0.511111111,0.395162608,0,0.035,,9.5,2.1875,5.7,2.55,1.233960892,10.45,8.95,0.75,0.75,1,9.5,0.0977933429,0.709985619,0.119074992,0.692841763,0.0834596154,0.815824818
cluster_paraphrase_hdbscan_100,0.5,0.455608346,0.284074504,0.075,0.4,0.451692626,0.24380707,0.1,0.4,0.353409876,0,0.0666666667,,0.5,1.520833333,5.0,4.25,0.813354701,8.25,9.75,0.0,0.0,1,0.5,0.0744234077,0.698062395,0.118894459,0.690974698,0.042190939,0.832554611
cluster_paraphrase_hdbscan_2,270.0,0.640999674,0.271140314,0.0364640884,0.542922304,0.752076276,0.282808671,0.10441989,0.903782288,0.548594956,0,0.0274907749,,270.0,1.322928177,2.871086556,2.259668508,1.25799744,10.08103131,8.662983425,1.127306273,1.127306273,1,270.0,0.227805798,0.661795825,0.489508287,0.514877327,0.213291723,0.7895626
cluster_paraphrase_hdbscan_30,0.0,0.413070341,0.253592362,0.0666666667,0.25,0.489009053,0.341620545,0.166666667,0.4,0.389177576,0,0.0,,0.0,1.477777778,4.0,3.333333333,2.347222222,13.0,7.0,0.0,0.0,1,0.0,0.0436144739,0.777442026,0.101263032,0.732626352,0.0624446082,0.832554611
cluster_paraphrase_hdbscan_35,0.0,0.448131551,0.205711732,0.0,0.3,0.480127225,0.328031679,0.166666667,0.4,0.368104503,0,0.0,,0.0,1.166666667,3.333333333,2.666666667,2.388888889,12.66666667,6.666666667,0.0,0.0,1,0.0,0.0365831118,0.763514788,0.100300576,0.736142433,0.0624446082,0.832554611
cluster_paraphrase_hdbscan_40,5.0,0.474345052,0.30776184,0.0384615385,0.383333333,0.578949318,0.263763327,0.0769230769,0.583333333,0.431509497,0,0.025,,5.0,1.0625,2.461538462,2.230769231,1.113100788,10.61538462,10.15384615,1.0,1.0,1,5.0,0.0672106488,0.741633179,0.112905532,0.707467371,0.128513276,0.806899645
cluster_paraphrase_hdbscan_45,2.5,0.530052673,0.253000477,0.0125,0.371428571,0.551496513,0.236223487,0.1125,0.542857143,0.40353537,0,0.0428571429,,2.5,1.5,4.875,3.375,0.931403319,7.5,8.0,0.714285714,0.714285714,1,2.5,0.0757155818,0.729390581,0.120801744,0.692335948,0.0946476489,0.813741801
cluster_paraphrase_hdbscan_50,2.5,0.531782407,0.27938633,0.05,0.4,0.54769405,0.253139624,0.0875,0.542857143,0.414943923,0,0.0285714286,,2.5,1.608333333,5.0,3.125,0.870689033,8.625,10.375,1.0,1.0,1,2.5,0.128181296,0.70566484,0.14863651,0.68747017,0.104918043,0.809597706
cluster_paraphrase_hdbscan_55,2.5,0.496595621,0.255177181,0.0125,0.257142857,0.541978277,0.25381274,0.1,0.542857143,0.423102336,0,0.0428571429,,2.5,1.833333333,5.0,2.5,0.831457431,8.375,10.5,1.0,1.0,1,2.5,0.127943017,0.682141211,0.148117762,0.688681162,0.0981280503,0.812316109
