file_id,cluster_id,tfidf_sim_t5,js_div_t5,tfidf_sim_centroid,js_div_centroid,tfidf_sim_keybert,js_div_keybert
cluster_mpnet_hdbscan_100,0,0.0473729974,0.748721698,0.074901544,0.717733658,0.0706712045,0.805229801
cluster_mpnet_hdbscan_2,268.5,0.225836915,0.665354356,0.467041369,0.528369923,0.209270816,0.789041121
cluster_mpnet_hdbscan_30,6.5,0.0581450458,0.744909799,0.171832851,0.679669818,0.0990931141,0.805306183
cluster_mpnet_hdbscan_35,6.5,0.0902587375,0.741464541,0.176415329,0.676401632,0.113946835,0.808051607
cluster_mpnet_hdbscan_40,5,0.0893677902,0.74104139,0.156673001,0.683339138,0.109913315,0.804376946
cluster_mpnet_hdbscan_45,2.5,0.0828144652,0.732194662,0.130178079,0.704050341,0.103623351,0.812946541
cluster_mpnet_hdbscan_50,3,0.0896064263,0.728256322,0.14138859,0.688251028,0.11985636,0.806343276
cluster_mpnet_hdbscan_55,2,0.0548990403,0.731683819,0.12327091,0.694212639,0.104148868,0.818000336
cluster_mpnet_hdbscan_60,2,0.0805028515,0.7339049,0.12766397,0.690738395,0.0941407419,0.821886166
cluster_mpnet_kmeans_10,4.5,0.0965571787,0.732783424,0.114314353,0.690628383,0.0987172855,0.811739922
cluster_mpnet_kmeans_15,7,0.0892875366,0.735190689,0.117475654,0.695400292,0.126043432,0.810047213
cluster_mpnet_kmeans_20,9.5,0.0977933429,0.709985619,0.119074992,0.692841763,0.0834596154,0.815824818
cluster_paraphrase_hdbscan_100,0.5,0.0744234077,0.698062395,0.118894459,0.690974698,0.042190939,0.832554611
cluster_paraphrase_hdbscan_2,270,0.227805798,0.661795825,0.489508287,0.514877327,0.213291723,0.7895626
cluster_paraphrase_hdbscan_30,0,0.0436144739,0.777442026,0.101263032,0.732626352,0.0624446082,0.832554611
cluster_paraphrase_hdbscan_35,0,0.0365831118,0.763514788,0.100300576,0.736142433,0.0624446082,0.832554611
cluster_paraphrase_hdbscan_40,5,0.0672106488,0.741633179,0.112905532,0.707467371,0.128513276,0.806899645
cluster_paraphrase_hdbscan_45,2.5,0.0757155818,0.729390581,0.120801744,0.692335948,0.0946476489,0.813741801
cluster_paraphrase_hdbscan_50,2.5,0.128181296,0.70566484,0.14863651,0.68747017,0.104918043,0.809597706
cluster_paraphrase_hdbscan_55,2.5,0.127943017,0.682141211,0.148117762,0.688681162,0.0981280503,0.812316109
cluster_paraphrase_hdbscan_60,2,0.0751022827,0.713531612,0.123801267,0.693249531,0.0862048873,0.814643798
cluster_paraphrase_kmeans_10,4.5,0.0761134132,0.751400147,0.120531178,0.694288854,0.100120883,0.803932703
cluster_paraphrase_kmeans_15,7,0.0762764091,0.739265806,0.125594733,0.710573725,0.0899675008,0.808283759
cluster_paraphrase_kmeans_20,9.5,0.0865661122,0.724457001,0.135633223,0.693143765,0.107143166,0.808623051
cluster_t5_hdbscan_100,0,0.121158748,0.736692604,0.154135784,0.68888693,0.0491813793,0.821349264
cluster_t5_hdbscan_2,265,0.256697731,0.647573767,0.478644283,0.519798914,0.20282794,0.788759144
cluster_t5_hdbscan_30,4,0.107205475,0.727296619,0.200271063,0.676604929,0.0964456373,0.811935982
cluster_t5_hdbscan_35,0,0.0861380422,0.731347043,0.152256092,0.701643352,0.0491813793,0.821349264
cluster_t5_hdbscan_40,0,0.0756439468,0.75373051,0.152256092,0.701643352,0.0491813793,0.821349264
cluster_t5_hdbscan_45,0,0.0775036478,0.729902718,0.146560842,0.699112041,0.0491813793,0.821349264
