file_id,cluster_id,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert
cluster_minilm_hdbscan_30,14.5,0.498606823,0.353306834,0.028125,0.503225806,0.577577119,0.2866428,0.103125,0.606451613,0.43697527,0,0.035483871,
cluster_minilm_hdbscan_40,12,0.483969514,0.338611799,0.0185185185,0.461538462,0.568353662,0.284976,0.103703704,0.584615385,0.432494117,0,0.0346153846,
cluster_minilm_hdbscan_50,9.5,0.474604842,0.327208892,0.0181818182,0.480952381,0.571415075,0.28537008,0.104545455,0.6,0.436923423,0,0.0333333333,
cluster_minilm_kmeans_10,4.5,0.485099322,0.221748868,0.05,0.263333333,0.535130665,0.26947704,0.11,0.507777778,0.403465804,0,0.02,
cluster_minilm_kmeans_15,7,0.423135058,0.268119635,0.06,0.321481481,0.541001302,0.28846413,0.12,0.504444444,0.373174587,0,0.0266666667,
cluster_minilm_kmeans_20,9.5,0.436047676,0.302773203,0.05,0.365,0.535137725,0.30127633,0.135,0.61,0.405958102,0,0.035,
cluster_minilm_hdbscan_100,1.5,0.461708178,0.23879012,0.0166666667,0.44,0.532062083,0.303766042,0.0833333333,0.42,0.416978937,0,0.04,
cluster_minilm_hdbscan_2,269.5,0.617842218,0.271835401,0.0409594096,0.541759088,0.735571931,0.281233321,0.100922509,0.900765044,0.547162136,0,0.0229205176,
cluster_minilm_hdbscan_30,8.5,0.51593876,0.299605909,0.04,0.495906433,0.564657989,0.285433482,0.095,0.578947368,0.441693266,0,0.0263157895,
cluster_minilm_hdbscan_35,8.5,0.496952015,0.300141996,0.04,0.473684211,0.566735309,0.290647765,0.09,0.586549708,0.443707034,0,0.0263157895,
cluster_minilm_hdbscan_40,7,0.480860146,0.273149291,0.0647058824,0.420138889,0.568833691,0.297249354,0.0941176471,0.53125,0.450610433,0,0.0375,
cluster_minilm_hdbscan_45,6,0.519093917,0.361128755,0.0466666667,0.46031746,0.570073165,0.291318155,0.0733333333,0.514285714,0.441653447,0,0.0357142857,
cluster_minilm_hdbscan_50,4,0.474701898,0.363439496,0.0545454545,0.392222222,0.539767796,0.269937984,0.127272727,0.49,0.396164183,0,0.05,
cluster_minilm_hdbscan_55,3,0.498327821,0.284374591,0.0333333333,0.390277778,0.543685754,0.307012416,0.1,0.393055556,0.411737099,0,0.075,
cluster_minilm_hdbscan_60,3,0.465715142,0.22041674,0.0555555556,0.3625,0.545937671,0.312197147,0.122222222,0.4375,0.407911338,0,0.075,
cluster_minilm_kmeans_10,4.5,0.485099322,0.221748868,0.05,0.263333333,0.535130665,0.269477029,0.11,0.507777778,0.403465804,0,0.02,
cluster_minilm_kmeans_15,7,0.423135058,0.268119635,0.06,0.321481481,0.541001302,0.288464127,0.12,0.504444444,0.373174587,0,0.0266666667,
cluster_minilm_kmeans_20,9.5,0.436047676,0.302773203,0.05,0.365,0.535137725,0.30127632,0.135,0.61,0.405958102,0,0.035,
cluster_mpnet_hdbscan_100,0,0.434024046,0.3381115,0.1,0.4,0.443963726,0.255647307,0.0666666667,0.45,0.286812209,0,0.05,
cluster_mpnet_hdbscan_2,268.5,0.590818602,0.269216599,0.037037037,0.529326796,0.716235518,0.275920373,0.108333333,0.883369408,0.530638938,0,0.027458256,
cluster_mpnet_hdbscan_30,6.5,0.452691827,0.205920049,0.05625,0.386666667,0.567814585,0.279160825,0.14375,0.66,0.417500715,0,0.0333333333,
cluster_mpnet_hdbscan_35,6.5,0.475350562,0.219152854,0.0375,0.373333333,0.576064877,0.273786526,0.125,0.606666667,0.431959874,0,0.0333333333,
cluster_mpnet_hdbscan_40,5,0.433019572,0.296383395,0.0230769231,0.316666667,0.555540646,0.283918626,0.130769231,0.55,0.421843544,0,0.0333333333,
cluster_mpnet_hdbscan_45,2.5,0.452236272,0.284877029,0.0125,0.328571429,0.519845944,0.28535871,0.125,0.528571429,0.392573044,0,0.0285714286,
cluster_mpnet_hdbscan_50,3,0.422781321,0.340844649,0.0666666667,0.4875,0.529589401,0.28381377,0.133333333,0.5875,0.425927093,0,0.025,
cluster_mpnet_hdbscan_55,2,0.39729989,0.325716025,0.0142857143,0.2,0.510309649,0.281560523,0.1,0.583333333,0.366363327,0,0.0333333333,
cluster_mpnet_hdbscan_60,2,0.457153929,0.410107432,0.0428571429,0.416666667,0.511818303,0.281020641,0.1,0.55,0.376862248,0,0.0166666667,
