cluster_id,summary,used_reviews
27,"im currently using it for my nokia lumia 810 and my camera, works very well and very fast! but expensiveedit i was really happy with the card until i had to record video on it. it seems that it doesnt write fast and my recordings end up being choppy and unwatchable. i was really disappointed in it, cuz i had to switch back to my phone's storage when recording video. i got this for my brand new nokia lumia 810, but there is some kind of problem, the card is horribly slow, i can't record hd video to it, it studders. i've tried reformatting several times to no avail. i didn't have any of these problems with my old 32gb class 4 sandisk card... there are other people having this problem as well, seems hit or miss. i can't recommend this card at this time for this reason.edit i've contacted sandisk and they are rmaing the card. i'll improve the rating if the new card corrects the problem.edit got the new card, problem still exists...edit i've suffered with this card for a year now, the only problem is that i cannot take video without studders, so i figured maybe software updates would eventually fix the problem. they have not. i have used multiple different camera apps, and the problem still persists. so far, so good. it does what it's supposed to do. doesn't seem any faster or slower than any other micro sd card i had. bought a cheap imitation on ebay and regretted it as it crashed. it really doesn't pay to be cheap with memory. it's all about the reliability, which you get with this product.10 17 update big problem with this sd card if you are a windows phone user does not properly record hd video. video recording to sd card is consistently choppy. pop in another sd card records fine. record to my phone records fine. i've tried formatting it every which way and it isn't working well. go with another brand windows phone users.","[""im currently using it for my nokia lumia 810 and my camera, works very well and very fast! but expensiveedit i was really happy with the card until i had to record video on it. it seems that it doesnt write fast and my recordings end up being choppy and unwatchable. i was really disappointed in it, cuz i had to switch back to my phone's storage when recording video."", ""i got this for my brand new nokia lumia 810, but there is some kind of problem, the card is horribly slow, i can't record hd video to it, it studders. i've tried reformatting several times to no avail. i didn't have any of these problems with my old 32gb class 4 sandisk card... there are other people having this problem as well, seems hit or miss. i can't recommend this card at this time for this reason.edit i've contacted sandisk and they are rmaing the card. i'll improve the rating if the new card corrects the problem.edit got the new card, problem still exists...edit i've suffered with this card for a year now, the only problem is that i cannot take video without studders, so i figured maybe software updates would eventually fix the problem. they have not. i have used multiple different camera apps, and the problem still persists."", ""so far, so good. it does what it's supposed to do. doesn't seem any faster or slower than any other micro sd card i had. bought a cheap imitation on ebay and regretted it as it crashed. it really doesn't pay to be cheap with memory. it's all about the reliability, which you get with this product.10 17 update big problem with this sd card if you are a windows phone user does not properly record hd video. video recording to sd card is consistently choppy. pop in another sd card records fine. record to my phone records fine. i've tried formatting it every which way and it isn't working well. go with another brand windows phone users.""]"
28,"this is exactly what i was looking for to upgrade the memory of my smartphone. good transfer speeds to using sandisk product, and great pricing from amazon. i wanted a memory card for my phone so i started looking around online, this is by far one of the best you can get and the price is un beatable great memory card! got this on one amazon's daily deals at a terrific price! getting ready to upgrade my cell phone and want to have a larger capacity memory card ready to go. this is just what i needed!","['this is exactly what i was looking for to upgrade the memory of my smartphone. good transfer speeds to using sandisk product, and great pricing from amazon.', 'i wanted a memory card for my phone so i started looking around online, this is by far one of the best you can get and the price is un beatable', ""great memory card! got this on one amazon's daily deals at a terrific price! getting ready to upgrade my cell phone and want to have a larger capacity memory card ready to go. this is just what i needed!""]"
29,"this card only lasted two weeks before it began giving read errors. i used it in a dash cam and no matter how many times i formatted, it would only record for about a minute before failing again. i picked up a pny card since and it has worked beautifully. unfortunately, i've been swamped and forgot to return this card before my 30 days. not happy about that! i bought two of these memory cards for use with my logitech alert 750e outdoor master security camera's. so far, i have found them to be unreliable. i am not entirely certain if this is because of the camera system or the memory card themselves. the camera frequently will report a memory card error that indicates the card has to be reformatted. this is problematic as if the camera had recorded something that was important, the failure of the sd card would be very troublesome indeed. i had this sandisk 32gb class 10 micro sdhc card in a pittasoft blackvue dr500gw hd in car camera dvr. it worked like a champ for 2 months and then died with the dreaded please format the sd card errors. stuck it in my mac mini 2011 and it is unrecognizable. same with windows pc. even the low level hp sd card formatter cannot reformat it. so in the garbage it goes. i have 2 more of these cards in my garmin gps devices and they continue to work so far but they are not being written to continually every day like the blackvue. so a word of advice if you need to write to these cards often buy something else.","[""this card only lasted two weeks before it began giving read errors. i used it in a dash cam and no matter how many times i formatted, it would only record for about a minute before failing again. i picked up a pny card since and it has worked beautifully. unfortunately, i've been swamped and forgot to return this card before my 30 days. not happy about that!"", ""i bought two of these memory cards for use with my logitech alert 750e outdoor master security camera's. so far, i have found them to be unreliable. i am not entirely certain if this is because of the camera system or the memory card themselves. the camera frequently will report a memory card error that indicates the card has to be reformatted. this is problematic as if the camera had recorded something that was important, the failure of the sd card would be very troublesome indeed."", 'i had this sandisk 32gb class 10 micro sdhc card in a pittasoft blackvue dr500gw hd in car camera dvr. it worked like a champ for 2 months and then died with the dreaded please format the sd card errors. stuck it in my mac mini 2011 and it is unrecognizable. same with windows pc. even the low level hp sd card formatter cannot reformat it. so in the garbage it goes. i have 2 more of these cards in my garmin gps devices and they continue to work so far but they are not being written to continually every day like the blackvue. so a word of advice if you need to write to these cards often buy something else.']"
30,"bought this to add additional memory to my nokia lumia 520 and works great as soon as i popped in the card. i bought this for my lumia 1520 windows phone to supplement the onboard storage capacity. fits fine, works great, fast access, immediately recognized by the device. not much more you can ask of a microsd card. i bough this to replace an old 1gb card i had in my phone. i am using this in a nokia lumia 822 and it works perfectly.","['bought this to add additional memory to my nokia lumia 520 and works great as soon as i popped in the card.', 'i bought this for my lumia 1520 windows phone to supplement the onboard storage capacity. fits fine, works great, fast access, immediately recognized by the device. not much more you can ask of a microsd card.', 'i bough this to replace an old 1gb card i had in my phone. i am using this in a nokia lumia 822 and it works perfectly.']"
31,card is well constructed and delivers the wright speeds that it promises. works great in my nokia lumina 822 running wp8. i have this in my wife's nokia lumia 521 and it works really well. the card seems to stream data well and the phone has never behaved oddly with this card been using this card in my nokia lumia 820 for over a year now. it gives decent speed and works good. no issues at all.,"['card is well constructed and delivers the wright speeds that it promises. works great in my nokia lumina 822 running wp8.', ""i have this in my wife's nokia lumia 521 and it works really well. the card seems to stream data well and the phone has never behaved oddly with this card"", 'been using this card in my nokia lumia 820 for over a year now. it gives decent speed and works good. no issues at all.']"
32,"this is a great card. the fps with this card were incredible. i ended up needing more memory, so i bought the sandisk 64 gb card. the data speeds are kinda slow but i am enjoying this card and thinking of buying a 64gb, nice buy.","['this is a great card. the fps with this card were incredible. i ended up needing more memory, so i bought the sandisk 64 gb card.', 'the data speeds are kinda slow but i am enjoying this card and thinking of buying a 64gb, nice buy.']"
33,"the supplied card with the r8 is 2gb, that only holds about 6 songs. i had to keep deleting projects to make room for new ones. solution get a larger capacity card. it also makes selecting, saving, and deleting projects faster. no problems after 1 month of use. san disk makes good cards however i thing the price is somewhat high.so i got the 32gb for half the price so i will have to download my pictures twice a month instead of once a month i would have gone for the 64gb, but they are still a little pricey. this one works fine for now. i have my entire cd music collection on the one card.","['the supplied card with the r8 is 2gb, that only holds about 6 songs. i had to keep deleting projects to make room for new ones. solution get a larger capacity card. it also makes selecting, saving, and deleting projects faster. no problems after 1 month of use.', 'san disk makes good cards however i thing the price is somewhat high.so i got the 32gb for half the price so i will have to download my pictures twice a month instead of once a month', 'i would have gone for the 64gb, but they are still a little pricey. this one works fine for now. i have my entire cd music collection on the one card.']"
34,"still don't feel is very fast or is just my phone, i guess i will need to remove it and run some r w tests. still its ok. no problem here. i use it in my samsung note 10.1. it is a little slow writing to it but such are micro sd cards. so far this sandisk ultra is working ok.i ran a few tests on it from within my phone before i began using it and the speed was well within reason.it does not read and write at the same speed.so far so good i guess","[""still don't feel is very fast or is just my phone, i guess i will need to remove it and run some r w tests. still its ok."", 'no problem here. i use it in my samsung note 10.1. it is a little slow writing to it but such are micro sd cards.', 'so far this sandisk ultra is working ok.i ran a few tests on it from within my phone before i began using it and the speed was well within reason.it does not read and write at the same speed.so far so good i guess']"
35,"what can i say. i got this at a one day sale only on amazon and wow this things worked smoothly. no errors, no formatting needed. i just popped it into my gsiii and it worked like a charm this thing works great. i have it to store pictures and videos and it works perfectly. i put it in and it formatted, and after that, no hassle at all. it was the best priced microsd here on amazon and i am happy with the purchase. i would buy again if i needed to.","['what can i say. i got this at a one day sale only on amazon and wow this things worked smoothly. no errors, no formatting needed. i just popped it into my gsiii and it worked like a charm', 'this thing works great. i have it to store pictures and videos and it works perfectly. i put it in and it formatted, and after that, no hassle at all. it was the best priced microsd here on amazon and i am happy with the purchase. i would buy again if i needed to.']"
36,"as advertised, specs match. as long as the device you as using it in can handle it i.e. usb 3.0, not some crapple bs it delivers the advertised speed. p.s. the speed is read, not write, but you knew that, right? i got it and tested it block by block. no issues. i tested the speed in various applications and on my laptop in a good usb3.0 reader got no less than 4meg sec and often a little over 10meg sec. speed will of course vary depending on all the hardware and what you are transferring. arrived fast. works with all my digital devices no issues.haven't tested the speed yet but should be more than adequate for data transfer.","['as advertised, specs match. as long as the device you as using it in can handle it i.e. usb 3.0, not some crapple bs it delivers the advertised speed. p.s. the speed is read, not write, but you knew that, right?', 'i got it and tested it block by block. no issues. i tested the speed in various applications and on my laptop in a good usb3.0 reader got no less than 4meg sec and often a little over 10meg sec. speed will of course vary depending on all the hardware and what you are transferring.', ""arrived fast. works with all my digital devices no issues.haven't tested the speed yet but should be more than adequate for data transfer.""]"
