cluster_id,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,ivd_t5,file_id,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,ivd_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert,ivd_keybert
58,0.6532929539680481,0.20019471645355225,0.0,0.9,0.3333333333333333,cluster_minilm_hdbscan_2,0.8481830358505249,0.2345263659954071,0.0,1.0,0.23076923076923078,0.6124358177185059,0.0,0.0,,0.0
59,0.5426843166351318,0.12701813876628876,0.0,0.1,0.0,cluster_minilm_hdbscan_2,0.6576022505760193,0.21404927968978882,0.1,0.7,0.16129032258064516,0.5136168003082275,0.0,0.1,,0.0
60,0.6305328607559204,0.4743955433368683,0.1,0.5,0.0,cluster_minilm_hdbscan_2,0.7070159912109375,0.21252429485321045,0.3,0.6,0.782608695652174,0.5002133846282959,0.0,0.0,,0.0
61,0.6607720255851746,0.43612945079803467,0.1,0.7777777777777778,2.6666666666666665,cluster_minilm_hdbscan_2,0.6644403338432312,0.435708612203598,0.1,1.0,1.75,0.5834830403327942,0.0,0.1,,1.0
62,0.843143105506897,0.3986872434616089,0.1,0.7,0.3333333333333333,cluster_minilm_hdbscan_2,0.866901695728302,0.34065309166908264,0.2,1.0,1.0,0.6279690265655518,0.0,0.0,,0.0
63,0.5625203251838684,0.0,0.1,0.3,1.0,cluster_minilm_hdbscan_2,0.8336130380630493,0.3791024088859558,0.2,1.0,1.25,0.6303050518035889,0.0,0.0,,0.0
64,0.6614865660667419,0.4565509259700775,0.1,0.8,2.0,cluster_minilm_hdbscan_2,0.7460432648658752,0.30237212777137756,0.2,0.9,1.1111111111111112,0.6290823221206665,0.0,0.1,,2.0
65,0.6607264876365662,0.3719886839389801,0.1,0.5,1.3333333333333333,cluster_minilm_hdbscan_2,0.7621481418609619,0.2969745993614197,0.1,1.0,1.125,0.5200867652893066,0.0,0.0,,1.0
66,0.6985914707183838,0.30446648597717285,0.0,0.8888888888888888,1.0,cluster_minilm_hdbscan_2,0.824345588684082,0.2790443003177643,0.2,1.0,0.6428571428571429,0.6627379655838013,0.0,0.0,,0.0
67,0.6987705230712891,0.4289226531982422,0.1,0.7,1.25,cluster_minilm_hdbscan_2,0.7180535197257996,0.23486249148845673,0.1,0.9,0.7,0.667212188243866,0.0,0.0,,0.0
68,0.6719675064086914,0.5578606128692627,0.1,0.9,1.3333333333333333,cluster_minilm_hdbscan_2,0.7223904132843018,0.27553096413612366,0.3,0.7,1.1428571428571428,0.5602401494979858,0.0,0.1,,2.0
69,0.6144108176231384,0.21865485608577728,0.0,0.3333333333333333,0.3333333333333333,cluster_minilm_hdbscan_2,0.6849278807640076,0.2392231971025467,0.1,1.0,0.6875,0.5199103355407715,0.0,0.0,,2.0
70,0.6781065464019775,0.1051778495311737,0.0,1.0,1.6666666666666667,cluster_minilm_hdbscan_2,0.7496918439865112,0.2654409408569336,0.2,1.0,1.4,0.5667168498039246,0.0,0.0,,0.0
71,0.5667016506195068,0.3467334508895874,0.1,0.3333333333333333,0.3333333333333333,cluster_minilm_hdbscan_2,0.7279982566833496,0.32694149017333984,0.1,1.0,0.5714285714285714,0.5877200961112976,0.0,0.0,,0.0
72,0.6863537430763245,0.3430594503879547,0.0,0.7777777777777778,0.6666666666666666,cluster_minilm_hdbscan_2,0.8037712574005127,0.1966991424560547,0.0,1.0,0.5,0.4353026747703552,0.0,0.0,,2.0
73,0.6810797452926636,0.3001253306865692,0.1,0.2222222222222222,0.3333333333333333,cluster_minilm_hdbscan_2,0.7411836385726929,0.19579260051250458,0.1,1.0,0.5,0.5584120750427246,0.0,0.0,,0.0
74,0.5226817727088928,0.20027697086334229,0.0,0.6,0.0,cluster_minilm_hdbscan_2,0.7719812989234924,0.254154235124588,0.1,1.0,0.625,0.5397639274597168,0.0,0.0,,0.0
75,0.7779455184936523,0.3416593372821808,0.0,0.6666666666666666,0.0,cluster_minilm_hdbscan_2,0.804082989692688,0.4139123857021332,0.0,0.7777777777777778,1.0,0.5185695886611938,0.0,0.0,,1.0
76,0.4919390082359314,0.0,0.0,0.2222222222222222,1.0,cluster_minilm_hdbscan_2,0.6866757273674011,0.20106320083141327,0.1,1.0,0.5,0.4814309775829315,0.0,0.1,,2.0
77,0.44100192189216614,0.317930668592453,0.1,0.5555555555555556,1.0,cluster_minilm_hdbscan_2,0.6616353988647461,0.23398074507713318,0.1,0.8888888888888888,0.7,0.5129912495613098,0.0,0.1,,1.0
78,0.6429749727249146,0.237094447016716,0.1,0.5555555555555556,0.0,cluster_minilm_hdbscan_2,0.6804346442222595,0.23442548513412476,0.1,1.0,0.5555555555555556,0.5327795743942261,0.0,0.0,,0.0
